KEY,en_US,en_GB,de_DE,es_ES,es_MX,fr_CA,fr_FR,lt_LT,nl_NL,pl_PL,pt_BR
common.login.error.description,This Application can be used only from within a store!,This Application can be used only from within a store!,Diese Anwendung kann nur innerhalb eines Standorts verwendet werden!,Esta aplicación solo se puede utilizar desde dentro de una tienda.,Esta aplicación solo se puede utilizar desde dentro de una tienda.,Cette application ne peut être utilisée que dans un magasin!,Cette application ne peut être utilisée que depuis un magasin !,Šią programą galima naudoti tik parduotuvėje!,Deze app kan alleen vanuit een locatie worden gebruikt!,Tej aplikacji można używać tylko z poziomu stacji!,Este aplicativo só pode ser usado dentro de uma loja!
common.login.error.title,Unable to Login,Unable to Login,Anmeldung nicht möglich,No se puede iniciar sesión,No se puede iniciar sesión,Connexion impossible,Connexion impossible,Nepavyksta prisijungti,Kan niet aanmelden,Nie można zalogować,Não foi possível fazer login
common.menu.description.logout,Do you want to logout?,Do you want to logout?,Möchten Sie sich abmelden?,¿Confirma que desea cerrar la sesión?,¿Desea cerrar la sesión?,Voulez-vous fermer votre session?,Souhaitez-vous vous déconnecter ?,Ar norite atsijungti?,Wilt u zich afmelden?,Czy chcesz się wylogować?,Deseja fazer logout?
common.menu.label.dark_mode,Dark mode,Dark mode,Dunkles Design,Modo oscuro,Modo oscuro,Mode sombre,Mode sombre,Tamsos režimas,Modus Donker,Tryb ciemny,Modo escuro
common.menu.label.department,Department,Department,Abteilung,Departamento,Departamento,Service,Service,Skyrius,Afdeling,Dział,Departamento
common.menu.label.unit_name,Unit name,Unit name,Einheitsname,Nombre de la unidad,Nombre de la unidad,Nom de l’unité,Nom de l'unité,Padalinio pavadinimas,Eenheidsnaam,Nazwa jednostki,Nome da unidade
common.menu.title.about,About,About,Info,Acerca de,Acerca de,À propos,À propos,Apie,Info,Informacje,Sobre
common.menu.title.absence_calendar,Absence Calendar,Absence Calendar,Abwesenheitskalender,Calendario de ausencias,Calendario de ausencias,Calendrier des absences,Calendrier des absences,Neatvykimo į darbą kalendorius,Afwezigheidskalender,Kalendarz nieobecności,Calendário de ausências
common.menu.title.alt_work_loc,Alt. Work Location,Alt. Work Location,Alt. Arbeitsstandort,Ubicación de trabajo alternativa,Ubicación del trabajo alternativa,Lieu de travail de rechange,Lieu de travail alternatif,Pakait. Darbo vieta,Alt. Werklocatie,Alt. miejsce pracy,Alt. Local de Trabalho
common.menu.title.attendance_management,Attendance Management,Attendance Management,Zeitwirtschaft,Gestión de asistencia,Administración de asistencia,Gestion des présences,Gestion de la présence,Lankomumo valdymas,Aanwezigheidsbeheer,Zarządzanie obecnością,Gestão de presença
common.menu.title.availability,Availability,Availability,Verfügbarkeit,Disponibilidad,Disponibilidad,Disponibilité,Disponibilité,Užimtumas,Beschikbaarheid,Dostępność,Disponibilidade
common.menu.title.disclaimer,Disclaimer,Disclaimer,Haftungsausschluss,Exención de responsabilidad,Descargo de responsabilidad,Avertissement,Avertissement,Atsakomybės apribojimas,Disclaimer,Wyłączenie odpowiedzialności,Isenção de responsabilidade
common.menu.title.ess,ESS,ESS,ESS,ESS,ESS,ESS,ESS,ESS,ESS,ESS,ESS
common.menu.title.glossary,Glossary,Glossary,Glossar,Glosario,Glosario,Glossaire,Glossaire,Žodynėlis,Verklarende woordenlijst,Słowniczek,Glossário
common.menu.title.home,Home,Home,Heim,Inicio,Inicio,Accueil,Accueil,Pradžia,Thuis,Strona główna,Página inicial
common.menu.title.leave_balance,Leave Balance,Leave Balance,Abwesenheitskonto,Saldo de permisos,Saldo de licencia,Solde des congés,Solde de congé,Atostogų likutis,Verlofsaldo,Saldo urlopów,Saldo da licença
common.menu.title.licenses,Licenses,Licenses,Lizenzen,Licencias,Licencias,Licences,Licences,Licencijos,Licenties,Licencje,Licenças
common.menu.title.login,Login,Login,Anmelden,Iniciar sesión,Inicio de sesión,Connexion,S'identifier,Prisijungti,Meld aan,Zaloguj,Fazer login
common.menu.title.logout,Logout,Logout,Abmelden,Cerrar sesión,Cerrar sesión,Se déconnecter,Se déconnecter,Atsijungti,Meld af,Wyloguj,Fazer Logout
common.menu.title.logs,Logs,Logs,Protokolle,Registros,Registros,Registres,Journaux,Žurnalai,Logboeken,Dzienniki,Registros
common.menu.title.more,More,More,Mehr,Más,Más,Plus,Plus,Daugiau,Meer,Więcej,Mais
common.menu.title.personalize,Personalize,Personalise,Personalisieren,Personalizar,Personalizar,Personnaliser,Personnaliser,Pritaikyti,Personaliseer,Personalizuj,Personalizar
common.menu.title.profile,Profile,Profile,Profil,Perfil,Perfil,Profil,Profil,Profilis,Profiel,Profil,Perfil
common.menu.title.requests,Requests,Requests,Anfragen,Solicitudes,Solicitudes,Demandes,Demandes,Prašymai,Aanvragen,Wnioski,Solicitações
common.menu.title.schedule,Schedule,Schedule,Einsatzplan,Horario,Programa,Emplois du temps,Planning,Tvarkaraštis,Planning,Grafik,Agendar
common.menu.title.semantic.ess,E S S,E S S,E S S,E S S,E S S,E S S,E S S,E S S,E S S,E S S,E S S
common.menu.title.shift_trade,Shift Trade,Shift Trade,Schichttausch,Intercambio de turnos,Intercambio de turnos,Échange de quart,Échange de session de travail,Apsikeitimas pamainomis,Ruil dienst,Zamiana zmiany,Troca de turno
common.menu.title.store_schedule,Store Schedule,Store Schedule,Standort-Einsatzplan,Horario de tienda,Programa de la tienda,Horaire du magasin,Planning du magasin,Parduotuvės tvarkaraštis,Locatieplanning,Grafik stacji,Programação da loja
common.menu.title.timecard,Timecard,Timecard,Stempelkarte,Hoja de horas,Tarjeta de registro,Fiche de temps,Feuille de présence,Darbo laiko apskaitos kortelė,Tijdkaart,Karta czasu pracy,Cartão de ponto
common.menu.title.timeclock,Timeclock,Timeclock,Zeiterfassung,TimeClock,Reloj de tiempo,Horloge pointeuse,Pointeuse,Laikrodis,Tijdklok,Rejestrator czasu pracy,Relógio de ponto
common.minute.label,Minute,Minute,Minute,Minuto,Minuto,Minute,Minute,Minutė,Minuut,Minuta,Minuto
common.minutes.abrv,mins,mins,Min.,minutos,min,min,minutes,min.,minuten,min,minutos
common.minutes.label,{0} Minutes,{0} Minutes,{0} Minuten,{0} minutos,{0} minutos,{0} minutes,{0} minutes,{0} Minutės,{0} minuten,{0} min,{0} minutos
common.minutes_short.label,{0} mins,{0} mins,{0} Min.,{0} min,{0} min,{0} min,{0} minutes,{0} min.,{0} min.,{0} min,{0} minutos
common.more.personalize.blue,Blue,Blue,Blau,Azul,Azul,Bleu,Bleu,Mėlyna,Blauw,Niebieski,Azul
common.more.personalize.dark,Dark,Dark,Dunkel,Oscuro,Oscuro,Sombre,Foncé,Tamsu,Donker,Ciemny,Escuro
common.more.personalize.default,Default,Default,Standard,Predeterminado,Predeterminado,Par défaut,Défaut,Numatytasis,Standaard,Domyślne,Padrão
common.more.personalize.gold,Gold,Gold,Gold,Oro,Dorado,Or,Or,Aukso,Goud,Złoty,Dourado
common.more.personalize.green,Green,Green,Grün,Verde,Verde,Vert,Vert,Žalia,Groen,Zielony,Verde
common.more.personalize.light,Light,Light,Hell,Claro,Luz,Léger,Clair,Lengva,Licht,Jasny,Leve
common.more.personalize.orange,Orange,Orange,Orange,Naranja,Naranja,Orange,Orange,Oranžinė,Oranje,Pomarańczowy,Laranja
common.more.personalize.pink,Pink,Pink,Rosa,Rosa,Rosa,Rose,Rose,Rausva,Roze,Różowy,Rosa
common.more.personalize.purple,Purple,Purple,Violett,Morado,Púrpura,Violet,Violet,Purpurinė,Paars,Fioletowy,Roxo
common.more.personalize.red,Red,Red,Rot,Rojo,Rojo,Rouge,Rouge,Raudona,Rood,Czerwony,Vermelho
common.more.personalize.system,System,System,System,Sistema,Sistema,Système,Système,Sistema,Systeem,System,Sistema
common.more.personalize.teal,Teal,Teal,Teal,Verde azulado,Verde azulado,Sarcelle,Bleu-vert,Žalsvai mėlyna,Groenblauw,Turkusowy,Azul petróleo
common.more.personalize.title,Personalize theme,Personalise theme,Design personalisieren,Personalizar tema,Personalizar tema,Personnaliser le thème,Personnaliser le thème,Asmeniškai nustatyti temą,Thema personaliseren,Spersonalizuj motyw,Personalizar tema
common.picker.default_value,Select,Select,Auswählen,Seleccionar,Seleccionar,Sélectionner,Sélectionner,Pasirinkti,Selecteer,Wybierz,Selecionar
common.picker.header,Select {0},Select {0},{0} auswählen,Seleccionar {0},Seleccionar {0},Sélectionner {0},Sélectionner {0},Pasirinkti {0},Selecteer {0},Wybierz {0},Selecionar {0}
common.screenshot.message,Security Screenshots may contain personal information & are considered a security risk due to them being saved in your iPad photo library. Delete as needed.,Security Screenshots may contain personal information & are considered a security risk due to them being saved in your iPad photo library. Delete as needed.,"Sicherheitsscreenshots können persönliche Informationen enthalten und gelten als Sicherheitsrisiko, da sie in Ihrer iPad-Fotobibliothek gespeichert werden. Bei Bedarf löschen.",Las capturas de pantalla de seguridad pueden contener información personal y se consideran un riesgo de seguridad debido a que se guardan en la biblioteca de fotos de su iPad. Elimínelas según sea necesario.,Las capturas de pantalla de seguridad pueden contener información personal y se consideran un riesgo de seguridad debido a que se guardan en la biblioteca de fotos de su iPad. Elimínelas según sea necesario.,Les captures d’écran de sécurité peuvent contenir des renseignements personnels et sont considérées comme un risque de sécurité en raison de leur enregistrement dans la bibliothèque de photos de votre iPad. Supprimer au besoin.,"Les captures d'écran de sécurité peuvent contenir des informations personnelles et sont considérées comme un risque pour la sécurité, car elles sont enregistrées dans votre photothèque iPad. Supprimez-les au besoin.","Saugumo ekrano nuotraukose gali būti asmeninės informacijos ir jos laikomos saugumo pavojumi, nes išsaugomos „iPad“ nuotraukų bibliotekoje. Jei reikia, ištrinkite.","Schermafbeeldingen voor beveiliging kunnen persoonlijke informatie bevatten en worden beschouwd als een beveiligingsrisico, omdat ze zijn opgeslagen in uw iPad-fotobibliotheek. Verwijder naar behoefte.","Zrzuty ekranu mogą zawierać dane osobowe i są uważane za zagrożenie bezpieczeństwa, ponieważ są zapisywane w bibliotece zdjęć urządzenia iPad. Usuń w razie potrzeby.",As capturas de tela de segurança podem conter informações pessoais e são consideradas um risco de segurança devido à sua gravação na biblioteca de fotos do iPad. Exclua conforme necessário.
common.screenshot.title,Security,Security,Sicherheit,Seguridad,Seguridad,Sécurité,Sécurité,Apsauga,Beveiliging,Zabezpieczenia,Segurança
common.select_response,Select a Response,Select a Response,Wählen Sie eine Antwort aus,Seleccionar una respuesta,Seleccione una respuesta,Sélectionner une réponse,Sélectionner une réponse,Pasirinkite atsakymą,Selecteer een reactie,Wybierz odpowiedź,Selecionar uma resposta
common.semantic.bottom_bar.label,{0} tab {1} of {2},{0} tab {1} of {2},{0} Registerkarte {1} von {2},{0} pestaña {1} de {2},{0} pestaña {1} de {2},{0} onglet {1} de {2},{0} onglet {1} sur {2},{0} skirtukas {1} iš {2},{0} tabblad {1} van {2},{0} karta {1} {2},{0} guia {1} de {2}
common.semantic.more_options,More options,More options,Weitere Optionen,Más opciones,Más opciones,Plus d’options,Plus d'options,Daugiau parinkčių,Meer opties,Więcej opcji,Mais opções
common.semantic.state.selected,Selected,Selected,Ausgewählt,Seleccionado,Seleccionado,Choisi,Sélectionné(e),Pasirinkta,Geselecteerd,Wybrane,Selecionado
common.semantics.filter.from,From,From,Von,De,Desde,De,De,Nuo,Van,Od,De
common.semantics.filter.to,To,To,An,A,Hasta,À,À,Iki,Naar,Do,Para
common.semantics.label.back,Back,Back,Zurück,Atrás,Atrás,Arrière,Précédent,Grįžti,Terug,Wstecz,Voltar
common.semantics.label.info,info,info,Info,info,información,info,infos,informacija,info,informacje,informação
common.semantics.label.required,required,required,erforderlich,obligatorio,requerido,obligatoire,obligatoire,privaloma,vereist,wymagane,obrigatório
common.semantics.label.select,Select,Select,Auswählen,Seleccionar,Seleccionar,Sélectionner,Sélectionner,Pasirinkti,Selecteer,Wybierz,Selecionar
common.semantics.label.unselect,Unselect,Unselect,Auswahl aufheben,Anular selección,Anular selección,Désélectionner,Désélectionner,Nepasirinktas,Selectie ongedaan maken,Usuń wybór,Desmarcar
common.semantics.list.suffix,List item {0} of {1},List item {0} of {1},Listenelement {0} von {1},Elemento de lista {0} de {1},Elemento de lista {0} de {1},Article {0} de {1},Élément de liste {0} sur {1},Sąrašo elementas {0} iš {1},Lijstitem {0} van {1},Pozycja listy {0} z {1},Item da lista {0} de {1}
common.semantics.state.collapsed,collapsed,collapsed,minimiert,contraído,contraído,réduit,réduit,sutraukta,samengevouwen,zwinięte,minimizado
common.semantics.state.expanded,expanded,expanded,erweitert,desplegado,expandido,agrandi,développé(e),išskleista,uitgevouwen,rozwinięte,expandido
common.time.am_abrv_string,a,a,a,a,a,une,am,a,a,a,a
common.time.pm_abrv_string,p,p,p,p,p,p,pm,p,p,p,p
common.time_picker.error.12hr,Hours should be between 1 & 12,Hours should be between 1 & 12,Stunden müssen zwischen 1 und 12 liegen,Las horas deben estar entre 1 y 12,Las horas deben ser valores entre 1 y 12,Les heures doivent être comprises entre 1 et 12,Les heures doivent être comprises entre 1 et 12,Valandos turi būti nuo 1 iki 12,Uren moet tussen 1 en 12 zijn,Godziny powinny mieścić się w przedziale od 1 do 12,As horas devem estar entre 1 e 12
common.time_picker.error.24hr,Hours should be between 0 & 23,Hours should be between 0 & 23,Stunden müssen zwischen 0 und 23 liegen,Las horas deben estar entre 0 y 23,Las horas deben ser valores entre 0 y 23,Les heures doivent être comprises entre 0 et 23,Les heures doivent être comprises entre 0 et 23,Valandos turi būti nuo 0 iki 23,Uren moet tussen 0 en 23 zijn,Godziny powinny mieścić się w przedziale od 0 do 23,As horas devem estar entre 0 e 23
common.timezone.empty_warning,Unit {0} does not have a time zone configured. App will default to your device time zone ({1}). Please reach out to your administrator to resolve this.,,,,,,,,,,
common.timezone.error,Timezone is not defined for unit. Please contact administrator.,Timezone is not defined for unit. Please contact administrator.,Zeitzone ist für die Einheit nicht definiert. Wenden Sie sich an Ihren Administrator.,La zona horaria de la unidad no está definida. Póngase en contacto con el administrador.,La zona horaria no está definida para la unidad. Comuníquese con el administrador.,Le fuseau horaire n’est pas défini pour l’unité. Veuillez communiquer avec l’administrateur.,Le fuseau horaire n'est pas défini pour l'unité. Veuillez contacter votre administrateur.,Įrenginiui nenustatyta laiko juosta. Kreipkitės į administratorių.,Tijdzone is niet gedefinieerd voor eenheid. Neem contact op met de beheerder.,Strefa czasowa nie jest zdefiniowana dla jednostki Skontaktuj się z administratorem.,O fuso horário não está definido para a unidade. Entre em contato com o administrador.
common.timezone.invalid_error,Invalid timezone - {0}. Please contact administrator.,Invalid timezone - {0}. Please contact administrator.,Ungültige Zeitzone – {0}. Wenden Sie sich an Ihren Administrator.,Zona horaria no válida - {0}. Póngase en contacto con el administrador.,Zona horaria no válida - {0}. Comuníquese con el administrador.,Fuseau horaire invalide – {0}. Veuillez communiquer avec l’administrateur.,Fuseau horaire non valide - {0}. Veuillez contacter votre administrateur.,Netinkama laiko zona – {0}. Kreipkitės į administratorių.,Ongeldige tijdzone - {0}. Neem contact op met de beheerder.,Nieprawidłowa strefa czasowa: {0}. Skontaktuj się z administratorem.,Fuso horário inválido – {0}. Entre em contato com o administrador.
common.timezone.not_supported_warning,"The time zone ""{0}"" configured for unit {1} is not supported by the app. It will default to your device time zone ({2}). Please contact your administrator to resolve this.",,,,,,,,,,
common.transaction.completed_successfully,Transaction completed successfully,Transaction completed successfully,Transaktion erfolgreich abgeschlossen,Transacción completada con éxito,La transacción se completó correctamente,La transaction a bien été effectuée,Transaction réussie,Operacija sėkmingai užbaigta,Transactie voltooid,Transakcja ukończona,Transação concluída com sucesso
common.transaction.unable_to_complete,Unable to complete transaction,Unable to complete transaction,Transaktion kann nicht abgeschlossen werden,No se puede completar la transacción,No se puede completar la transacción,Impossible d’achever la transaction,Impossible de terminer la transaction,Operacijos užbaigti nepavyko,Kan transactie niet voltooien,Nie można ukończyć transakcji,Não foi possível concluir a transação
home.app_update.new_version_available,New Version Available,New Version Available,Neue Version verfügbar,Nueva versión disponible,Nueva versión disponible,Nouvelle version disponible,Nouvelle version disponible,Išleista nauja versija,Nieuwe versie beschikbaar,Nowa wersja dostępna,Nova Versão Disponível
home.app_update.remind_me,Remind me later,,Später erinnern,Recordarme más tarde,Recordarme más tarde,Me le rappeler plus tard,Me le rappeler plus tard,Priminti vėliau,Help mij herinneren,Przypomnij mi później,Lembrar-me mais tarde
home.app_update.update_app,Update app,Update app,App aktualisieren,Actualizar aplicación,Actualizar aplicación,Mettre à jour l’application,Mettre à jour l'application,Atnaujinti programą,App bijwerken,Aktualizuj aplikację,Atualizar aplicativo
home.app_update.update_app_message,Update app to new version to continue.,Update app to new version to continue.,App zum Fortfahren auf neue Version aktualisieren.,Actualice la aplicación a la nueva versión para continuar.,Actualice la aplicación a la nueva versión para continuar.,Mettre à jour l’application à la nouvelle version pour continuer.,Mettez à jour l'application vers une nouvelle version pour continuer.,"Jei norite tęsti, atnaujinkite programą į naują versiją.",Werk app bij naar nieuwe versie om door te gaan.,"Aby kontynuować, zaktualizuj aplikację do nowej wersji.",Atualize o aplicativo para a nova versão para continuar.
home.balance.accrued,Accrued,Accrued,Kumuliert,Acumulado,Acumulado,Accumulé,Cumulé,Sukauptos lėšos,Opgebouwd,Naliczone,Acumulado
home.balance.advance_usage,Advance,Advance,Vorab,Anticipado,Avanzado,Avancer,Avance,Avansas,Vervroegd,Przysługujący urlop,Disponível
home.balance.annualAccrued,Annual Accrued,Annual Accrued,Jährlich aufgelaufen,Acumulado anual,Devengo anual,Cumul annuel,Annuel cumulé,Sukaupta per metus,Jaarlijks opgebouwd,Roczne naliczone saldo,Acumulado anual
home.balance.annualBalance,Annual Balance,Annual Balance,Jahresbilanz,Saldo anual,Saldo anual,Solde annuel,Solde annuel,Metinis balansas,Jaarsaldo,Saldo roczne,Saldo anual
home.balance.annual_accrued,Annual Accrued,Annual Accrued,Jährliche Rückstellungen,Acumulado anual,Devengo anual,Cumul annuel,Annuel cumulé,Sukaupta per metus,Jaarlijks opgebouwd,Roczne naliczone saldo,Acumulado anual
home.balance.annual_balance,Annual Balance,Annual Balance,Jährlicher Saldo,Saldo anual,Saldo anual,Solde annuel,Solde annuel,Metinis balansas,Jaarsaldo,Saldo roczne,Saldo anual
home.balance.label.next_award_date,Accrual: {0},Accrual: {0},Rückstellung: {0},Devengo: {0},Acumulación: {0},Cumul : {0},Cumul : {0},Padidėjimas: {0},Opbouw: {0},Rozliczenie międzyokresowe: {0},Acúmulo: {0}
home.balance.label.remaining,Remaining,Remaining,Verbleibend,Restante,Restantes,Restant,Restant(e)s,Liko,Resterend,Pozostało,Restante
home.balance.label.total_days,Total Days,Total Days,Tage insgesamt,Total de días,Total de días,Nombre de jours,Total des jours,Iš viso dienų,Totaalaantal dagen,Suma dni,Total de dias
home.balance.label.total_hours,Total Hours,Total Hours,Gesamtstunden,Total de horas,Total de horas,Total des heures,Total d'heures,Iš viso valandų,Totaalaantal uren,Suma godzin,Total de horas
home.balance.label.used,Used,Used,Verwendet,Usado,Utilizado,Utilisé,Utilisé(e),Panaudota,Gebruikt,W użyciu,Utilizado
home.balance.unitUsage,Usage unit: {0},Usage unit: {0},Nutzungseinheit: {0},Unidad de uso: {0},Unidad de uso: {0},Unité d’utilisation : {0},Unité d'utilisation : {0},Naudojami vienetai: {0},Gebruikseenheid: {0},Jednostka użytkowa: {0},Unidade de uso: {0}
home.balance.unit_usage,Usage unit : {0},Usage unit : {0},Nutzungseinheit: {0},Unidad de uso: {0},Unidad de uso: {0},Unité d’utilisation : {0},Unité d'utilisation : {0},Naudojami vienetai: {0},Gebruikseenheid: {0},Jednostka użytkowa: {0},Unidade de uso: {0}
home.balance.used,Used,Used,Verwendet,Usado,Utilizado,Utilisé,Utilisé,Naudojama,Gebruikt,Wykorzystane,Utilizado
home.button.shortcut.absence_calendar,Absence calendar,Absence calendar,Abwesenheitskalender,Calendario de ausencias,Calendario de ausencias,Calendrier des absences,Calendrier des absences,Neatvykimo į darbą kalendorius,Afwezigheidskalender,Kalendarz nieobecności,Calendário de ausências
home.button.shortcut.alternate_location,Alternate work location,Alternate work location,Alternativer Arbeitsstandort,Ubicación de trabajo alternativa,Ubicaciones de trabajo alternativas,Autre lieu de travail,Lieu de travail secondaire,Alternatyvi darbo vieta,Alternatieve werklocatie,Alternatywne miejsce pracy,Local de trabalho alternativo
home.button.shortcut.appointments,Appointments,Appointments,Termine,Citas,Citas,Rendez-vous,Rendez-vous,Paskyrimai,Afspraken,Spotkania,Compromissos
home.button.shortcut.attendance_management,Attendance management,Attendance management,Anwesenheitsmanagement,Gestión de asistencia,Administración de asistencia,Gestion des présences,Gestion de la présence,Lankomumo valdymas,Aanwezigheidsbeheer,Zarządzanie obecnością,Gestão de presença
home.button.shortcut.availability,Availability,Availability,Verfügbarkeit,Disponibilidad,Disponibilidad,Disponibilité,Disponibilité,Užimtumas,Beschikbaarheid,Dostępność,Disponibilidade
home.button.shortcut.balance,Balance,Balance,Saldo,Saldo,Saldo,Solde,Solde,Likutis,Saldo,Saldo,Saldo
home.button.shortcut.delegation,Delegation,Delegation,Delegierung,Delegación,Delegación,Délégation,Délégation,Įgaliojimas,Delegatie,Delegacja,Delegação
home.button.shortcut.disclaimer,Disclaimer,Disclaimer,Haftungsausschluss,Exención de responsabilidad,Descargo de responsabilidad,Avertissement,Avertissement,Atsakomybės apribojimas,Disclaimer,Wyłączenie odpowiedzialności,Isenção de responsabilidade
home.button.shortcut.glossary,Glossary,Glossary,Glossar,Glosario,Glosario,Glossaire,Glossaire,Žodynėlis,Verklarende woordenlijst,Słowniczek,Glossário
home.button.shortcut.profile,Profile,Profile,Profil,Perfil,Perfil,Profil,Profil,Profilis,Profiel,Profil,Perfil
home.button.shortcut.provide.feedback,App Feedback,App Feedback,App-Feedback,Comentarios de la aplicación,Comentarios de la aplicación,Rétroaction sur l’application,Commentaires sur l'application,Programos atsiliepimas,Feedback app,Opinia o aplikacji,Feedback do aplicativo
home.button.shortcut.school_calendar,School calendar,School calendar,Schulkalender,Calendario escolar,Calendario escolar,Calendrier scolaire,Calendrier scolaire,Mokyklos kalendorius,Schoolkalender,Kalendarz szkolny,Calendário escolar
home.button.shortcut.self_scheduling,Self scheduling,Self scheduling,Eigene Erstellung des Einsatzplans,Horario automático,Programación automática,Autoplanification,Auto-planification,Savarankiškas tvarkaraščio planavimas,Zelfplanning,Samodzielne planowanie,Autoagendamento
home.button.shortcut.store_schedule,Store Schedule,Store Schedule,Standort-Einsatzplan,Horario de tienda,Programa de la tienda,Horaire du magasin,Planning du magasin,Parduotuvės tvarkaraštis,Locatieplanning,Grafik stacji,Programação da loja
home.button.shortcut.timecard,Timecard,Timecard,Stempelkarte,Hoja de horas,Tarjeta de registro,Fiche de temps,Feuille de présence,Darbo laiko apskaitos kortelė,Tijdkaart,Karta czasu pracy,Cartão de ponto
home.button.shortcut.timeclock,Timeclock,Timeclock,Zeiterfassung,TimeClock,Reloj de tiempo,Horloge pointeuse,Pointeuse,Laikrodis,Tijdklok,Rejestrator czasu pracy,Relógio de ponto
home.label.balance,Balance,Balance,Saldo,Saldo,Saldo,Solde,Solde,Likutis,Saldo,Saldo,Saldo
home.label.break,Break {0},Break {0},Pause {0},{0} de pausa,Descanso {0},Pause {0},Pause{0},Pertrauka {0},Pauze {0},Przerwa {0},Pausa {0}
home.label.day_off,Day Off,Day Off,Urlaubstag,Día libre,Día libre,Congé,Jour de congé,Laisva diena,Vrije dag,Dzień wolny,Dia de folga
home.label.greeting,"Hello, {0}","Hello, {0}","Hallo, {0}","Hola, {0}","Hola, {0}","Bonjour, {0}","Bonjour, {0}","Sveiki, {0}","Hallo, {0}","Witaj, {0}!","Olá, {0}"
home.label.meal,Meal break {0},Meal break {0},Essenspause {0},Pausa para comer de {0},Pausa de comida de {0},Pause-repas {0},Pause-repas {0},Valgymo pertrauka {0},Maaltijdpauze van {0},Przerwa na posiłek: {0},Pausa para refeição {0}
home.label.new_request,New PTO Request,New PTO Request,Neue Urlaubsanfrage,Nueva solicitud de tiempo libre,Nueva solicitud de PTO,Nouvelle demande de congé payé,Nouvelle demande de jour de congé payé,Naujas PTO prašymas,Nieuwe aanvraag voor betaald verlof,Nowy wniosek o płatny czas wolny,Nova solicitação de PTO
home.label.next_week,Next week,Next week,Nächste Woche,Próxima semana,Próxima semana,Prochaine semaine,Semaine suivante,Kita savaitė,Volgende week,Następny tydzień,Próxima semana
home.label.not_scheduled,You are not currently scheduled.,You are not currently scheduled.,Für Sie ist derzeit kein Einsatz geplant.,Actualmente no está programado.,"En este momento, usted no está programado.",Vous n’êtes pas inscrit à l’horaire pour le moment.,Vous ne figurez sur aucun planning actuellement.,Jums šiuo metu niekas nesuplanuota.,U staat momenteel niet ingepland.,Obecnie nie masz niczego zaplanowanego.,Você não está agendado no momento.
home.label.over_a_month,In over a month,In over a month,In über einem Monat,En más de un mes,En más de un mes,En plus d’un mois,Dans plus d'un mois,Už daugiau nei mėnesio,Over meer dan een maand,W ciągu ponad miesiąca,Em mais de um mês
home.label.overdue_shift,Overdue for shift start at {0},Overdue for shift start at {0},Überfällig für den Anfang der Schicht um {0},Inicio del turno vencido a las {0},Inicio de turno pendiente en {0},En retard pour le quart de travail commençant à {0},Retard du début de la session de travail à {0},Vėluojama pradėti pamainą {0},Te laat voor begin van dienst om {0},Zaległe rozpoczęcie zmiany o godz. {0},Atrasado para início do turno às {0}
home.label.qr,Flash your QR,Flash your QR,QR-Code vorzeigen,Actualice su QR,Muestre su QR,Montrer votre code QR,Flasher votre code QR,Pamojuokite savo QR,Toon uw QR,Migawka kodu QR,Exiba seu QR
home.label.shift_start,Shift starts in {0} minutes,Shift starts in {0} minutes,Schicht beginnt in {0} Minuten,El turno comienza en {0} minutos,El turno comienza en {0} minutos,Le quart de travail commence dans {0} minutes,Début de la session de travail dans {0} minutes,Pamaina prasideda už {0} min.,Dienst begint over {0} minuten,Zmiana rozpoczyna się za {0} min,O turno começa em {0} minutos
home.label.shift_trade,Start Shift Trade,Start Shift Trade,Schichttausch starten,Iniciar intercambio de turno,Iniciar el intercambio de turnos,Échanger le quart de travail,Démarrer l'échange de session de travail,Pradėti pamainos keitimą,Dienstruil starten,Rozpocznij zamianę zmiany,Iniciar negociação por turnos
home.label.this_month,This month,This month,Diesen Monat,Este mes,Este mes,Ce mois-ci,Ce mois-ci,Šis mėnuo,Deze maand,Ten miesiąc,Este mês
home.label.this_week,This week,This week,Diese Woche,Esta semana,Esta semana,Cette semaine,Cette semaine,Ši savaitė,Deze week,Ten tydzień,Esta semana
home.label.today,Today,Today,Heute,Hoy,Hoy,Aujourd’hui,Aujourd'hui,Šiandiena,Vandaag,Dziś,Hoje
home.label.tomorrow,Tomorrow,Tomorrow,Morgen,Mañana,Mañana,Demain,Demain,Rytoj,Morgen,Jutro,Amanhã
home.label.week,In 1 week,In 1 week,In 1 Woche,En 1 semana,En 1 semana,Dans 1 semaine,Dans 1 semaine,Už 1 savaitės,Over 1 week,Za tydzień,Em 1 semana
home.label.weeks,In {0} weeks,In {0} weeks,In {0} Wochen,En {0} semanas,En {0} semanas,Dans {0} semaines,Dans {0} semaines,Už {0} savaičių,Over {0} weken,Za {0} tygodni(e),Em {0} semanas
home.schedule.label.hrs,{0}h,{0}h,{0} Std.,{0} h,{0} h,{0} h,{0} h,{0} val.,{0} uur,{0} godz.,{0}h
home.schedule.label.scheduled_hrs,Scheduled {0}h,Scheduled {0}h,Geplant {0} h,{0} h programadas,Programado {0} h,{0} h à l’horaire,Planifié(e) {0} h,Suplanuota {0}h,{0} uur gepland,Zaplanowane {0} godz.,Agendado {0}h
home.schedule.label.week,Week Schedule,Week Schedule,Wocheneinsatzplan,Turno semanal,Programa semanal,Horaire hebdomadaire,Planning de la semaine,Savaitės tvarkaraštis,Weekplanning,Grafik tygodnia,Programação semanal
